#{"t_start": 1639590939.9665973, "env_id": null}
r,l,t
-20.0,1139,3503.034891
-21.0,1092,3510.429386
-21.0,1098,3512.060649
-21.0,1109,3519.495549
-20.0,1132,3521.206659
-20.0,1367,3529.544056
-21.0,1261,3537.23789
-20.0,1315,3539.213966
-21.0,1099,3546.612284
-19.0,1369,3548.665303
-21.0,1010,3555.907578
-21.0,1021,3557.419695
-21.0,1015,3565.124134
-21.0,1026,3566.64216
-21.0,1008,3573.920655
-21.0,1030,3575.460237
-21.0,1024,3582.772491
-21.0,1093,3584.401004
-20.0,1303,3592.493467
-21.0,1023,3600.086956
-21.0,1017,3601.610908
-21.0,1013,3609.323802
-21.0,1031,3610.855759
-21.0,1021,3618.323583
-21.0,1018,3619.807091
-21.0,1012,3627.197626
-21.0,1018,3628.679599
-21.0,1013,3635.750939
-21.0,1019,3637.213004
-21.0,1031,3644.312652
-21.0,1018,3645.870314
-21.0,1020,3653.927663
-21.0,1013,3655.473136
-21.0,1093,3663.626313
-21.0,1009,3665.103827
-20.0,1151,3672.95914
-21.0,1002,3674.548282
-21.0,1102,3683.071407
-20.0,1227,3684.889004
-21.0,1177,3693.407398
-21.0,1020,3694.917849
-20.0,1143,3703.04812
-21.0,1021,3704.608665
-21.0,1100,3712.635495
-21.0,1495,3721.31435
-21.0,1104,3722.942382
-20.0,1123,3730.964238
-20.0,1320,3732.924457
-21.0,1011,3740.805093
-21.0,1264,3742.680973
-21.0,1165,3750.943215
-21.0,1188,3758.967957
-21.0,1100,3760.655021
-21.0,1173,3768.963083
-21.0,1097,3770.605654
-21.0,1096,3778.526177
-21.0,1159,3780.241562
-20.0,1307,3788.631804
-21.0,1173,3796.815445
-21.0,1091,3798.416522
-21.0,1186,3806.832002
-20.0,1128,3808.697089
-20.0,1133,3816.666219
-21.0,1199,3818.558417
-21.0,1339,3826.801726
-20.0,1232,3834.602071
-21.0,1086,3836.176592
-21.0,1098,3843.39745
-21.0,1320,3845.319768
-20.0,1219,3852.730827
-21.0,1098,3854.351243
-21.0,1101,3862.077536
-18.0,1651,3870.108941
-21.0,1104,3871.706269
-21.0,1256,3879.576028
-21.0,1332,3887.74729
-21.0,1096,3889.329792
-21.0,1280,3898.005131
-21.0,1112,3899.630643
-21.0,1145,3908.138728
-21.0,1196,3910.06864
